phases,sfcode,numfr,numint,weight
PI2,CLO,1,0,21.8
PI2,CLO,1,0,9.11
PI2,CLO,1,0,8.59
PI2,JHA,0,1,4
PI2,CLO,,,
PI2,CLO,0,1,13.11
PI2,CLO,2,0,10.36
PI2,YYY,1,0,1.76
PI2,CLO,0,1,6.78
PI2,CLO,1,0,8.72
PI2,CLO,2,0,20.85
PI2,YYY,1,0,2.28
PI2,NVT,1,0,10.44
PI2,YYY,1,0,9.32
PI2,LAM,1,0,3
PI2,CLO,1,0,8.03
PI2,CLO,1,0,13.7
PI2,CLO,0,0,4.97
PI2,CLO,0,1,4.97
PI2,CLO,0,1,13.7
PI2,CLO,1,0,13.57
PI2,CLO,4,0,7.03
PI2,CLO,0,1,14.96
PI2,CLO,0,1,15.65
PI2,YYY,1,0,10.36
PI2,CLO,1,0,14.78
PI2,NVT,1,0,1.16
PI2,CLO,1,0,20.09
PI2,BTH,0,1,7.88
PI2,SLA,0,2,22.52
PI2,SLA,0,1,20.85
PI2,CLO,1,0,16.04
PI2,YYY,1,0,5.83
PI2,SLA,4,0,5.48
PI2,YYY,1,0,2.34
PI2,SLA,0,1,9.24
PI2,COZ,0,1,24.5
PI2,SLA,0,1,9.6
PI2,CRS,0,1,23
PI2,SLA,0,2,14.78
PI2,CLO,3,0,25.58
PI2,YYY,1,0,0.49
PI2,SLA,1,0,18.23
PI2,CLO,1,0,20.52
PI2,YYY,1,0,0.99
PI2,CLO,1,0,24.4
PI2,CLO,1,0,12.97
PI2,CLO,3,0,14.4
PI2,CLO,,,
PI2,CLO,,,
PI2,CLO,0,1,34.62
PI2,CLO,,,
PI2,CLO,2,0,20.21
PI2,CLO,3,0,14.85
PI2,CLO,1,0,23.17
PI2,BTH,0,1,4.21
PT,FIB,1,0,2
PT,CRD,1,0,1
PT,FIB,1,0,5
PT,YYY,2,0,1
PT,MTR,3,0,14
PT,YYY,1,0,1
PT,TOO,1,0,5
PT,CHE,5,0,1
PT,ANO,0,1,4
PT,EPG,1,0,2
PT,FIB,1,0,1
PT,CLO,2,0,6
PT,CLO,1,0,7
PT,YYY,1,0,1
PT,ZZZ,1,0,45
PT,MTR,1,0,63
SM,PSN,1,0,300
SM,FLW,2,0,2
SM,CLO,1,0,3
SM,CLO,0,1,19
SM,CLO,1,0,8
TB1,YYY,6,0,49
TB1,MTR,1,0,51
TB1,LAM,1,0,5
TB1,SLA,1,0,18
TB1,MTR,9,0,114
TB1,SLA,5,0,815
TB1,SCA,0,1,14
TB1,SLA,1,0,38
TB1,SCA,0,1,40
TB1,SCA,0,1,52
TB1,CLO,0,1,24
TB1,SCA,0,2,44
TB1,SLA,4,0,70
TB1,PDS,1,0,254
TB1,SLA,3,0,41
TB1,CLO,,,
TB1,CLO,1,0,28
TB1,CLO,2,0,11
TB1,CLO,1,0,16
TB1,CLO,1,0,9
TB1,CLO,1,1,49
TB1,CLO,1,0,24
TB1,CLO,,,
TB1,CLO,2,0,25
TB1,CLO,1,0,19
TB1,PDS,0,1,228
TB1,WAS,5,0,124
TB1,MTR,1,0,36
TB1,ZZZ,0,1,48
TB1,SLA,1,0,36
TB1,ZZZ,1,0,2
TB1,WAS,4,0,48
TB1,TES,0,4,34
TB1,SLA,1,0,299
TB1,SLA,1,0,88
TB2,ZZZ,10,0,758
TB2,CLO,0,1,19
TB2,WAS,1,0,3988
TB2,LMP,1,0,2
TB2,PSN,1,0,509
TB2,TES,0,7,75
TB2,WAS,1,0,146
TB2,SPA,0,1,134
TB2,WAS,3,0,465
TB2,TES,0,1,31
TB2,WAS,1,0,3801
TB3,AGS,0,1,306
TB3,MTR,2,0,170
TB3,BQZ,1,0,3490
TB3,BQZ,3,0,
TB3,MTR,3,0,146
TB3,ZZZ,3,0,242
TB3,TGE,1,0,0
TB3,CLO,1,0,11
TB3,BQY,5,0,1156
TB3,SLA,1,0,139
TB3,SLA,4,0,163
TB3,SLA,2,0,158
TB3,VSR,1,0,10
TB3,WAS,8,0,672
TB3,MVO,2,0,652
TB3,MON,0,1,0
MZ1,MON,0,1,0
MZ1,MON,0,1,0
MZ1,MON,0,1,0
MZ1,MON,0,1,0
MZ2,MON,0,1,0
MZ2,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
MZ3,MON,0,1,0
